country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in-country_partner,harvest_year,grading_date,owner,variety,status,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,defects,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,bean_type,mouthfeel,uniform_cup,bitter_and_sweet,salt_and_acid,fragrance_and_aroma
Ethiopia,Abera Farm,2,Abera washing staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000.0,METAD Agricultural Development plc,2024 / 2025,2025-04-08,Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Washed / Wet,7.92,8.08,8.0,8.42,8.08,8.08,10.0,10,10.0,8.17,0,86.75,0.098,0.0,0,Blue-Green,1.0,2026-04-08,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",arabica,,,,,
Vietnam,8Ro Company,A430,8Ro Company,,8RoCompany,1400,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,5000,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Đinh Tiên Bảo San,Catimor,Completed,Natural / Dry,8.33,8.17,8.17,8.0,8.17,8.0,10.0,10,10.0,7.92,0,86.75,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Taiwan,仙井咖啡莊園 Xian Jing Estate,"2024 Sustainable Specialty Coffee Farm Awards,S052",仙井咖啡莊園 Xian Jing Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣番路鄉 Fanlu Township, Chiayi County","范姵甯 FAN,PEI-NING",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon x Geisha,Completed,Pulped natural / honey,8.17,8.25,8.08,7.92,7.83,8.25,10.0,10,10.0,8.17,0,86.67,0.102,0.0,0,Green,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,大鋤花間咖啡生態農場 （Dachu Coffee Estate),2025臺南市國產精品咖啡評鑑批次,大鋤花間咖啡生態農場(Dachu Coffee Estate),,Taiwan Coffee Laboratory,700-750,"臺南市東山區 Dongshan Dist., Tainan City","郭雅聰(KUO,YA-TSUNG）",1,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.0,8.17,8.08,8.08,7.83,8.08,10.0,10,10.0,8.33,0,86.58,0.092,0.0,0,GREENISH,1.0,2026-07-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Thailand,PHU CHEE DEUN COFFEE FARMER,1,Mogojubean,,PHU CHEE DEUN COFFEE FARMER,1450,North,PHU CHEE DEUN COFFEE FARMER,1,8.0,Specialty Coffee Institute of Thailand,2024 / 2025,2025-08-26,Phongsathorn Khunta,Mix,Completed,Washed / Wet,8.33,8.17,7.92,7.92,7.92,8.17,10.0,10,10.0,8.17,0,86.58,0.11699999999999999,0.0,0,Yello-Green,0.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Ethiopia,Moredocofe S.C,005,Moredocofe Huling facility,010/0184/0016,Moredocofe S.C,1900,Oromia,Moredocofe S.c,100,6000.0,METAD Agricultural Development plc,2024 / 2025,2025-05-08,Moredocofe S.C,Ethiopian Heirlooms,Completed,Natural / Dry,7.92,8.17,8.08,8.25,7.92,8.08,10.0,10,10.0,8.08,0,86.5,0.092,0.0,5,Yellow Green,4.0,2026-05-08,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",arabica,,,,,
Ethiopia,Hama Kebele small holder farmer,233,Dancho Mukere PLC Hama Washing station,010/0030/0233,Mullege PLC,1950-2100,Ethiopia,Fermentation process,320,60.0,METAD Agricultural Development plc,2024 / 2025,2025-05-06,Mullege PLC,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,7.92,8.08,8.17,8.17,8.08,10.0,10,10.0,8.08,0,86.5,0.094,0.0,0,Greenish,3.0,2026-05-06,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",arabica,,,,,
Taiwan,向陽台灣咖啡 Sunlit Taiwan Coffee Farm,"2024 Sustainable Specialty Coffee Farm Awards,S086",向陽台灣咖啡 Sunlit Taiwan Coffee Farm,,Taiwan Coffee Laboratory,1000,"南投縣國姓鄉 Guoxing Township, Nantou County","林言謙 LIN, YEN-CHIEN",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.17,8.0,8.08,7.92,8.08,10.0,10,10.0,8.17,0,86.5,0.10099999999999999,0.0,0,Greenish,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,COFEE BERRIES MANOR,C201,"Chiayi Agricultural Experiment Branch, TARI",,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,8.08,8.0,8.08,8.0,8.08,10.0,10,10.0,8.17,0,86.42,0.085,0.0,0,greenish,4.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Ethiopia,Eyasu Abraham,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,010/1269/0066,Taiwan Coffee Laboratory,2100-2200,Yirgacheffe Gedeb Banko Gotiti,Small holder farmers around the site,320,60.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,2025-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,Heirloom,Completed,Washed / Wet,8.17,8.17,8.0,7.92,7.92,8.08,10.0,10,10.0,8.17,0,86.42,0.09,0.0,0,Green,1.0,2026-09-26,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Thailand,Doi Tung Development Project,DT2024/2025 Gayo Fermented Natural Lot ICP,Doi Tung Development Project,,Mae Fah Luang Foundation,1200,"Chiang Rai, Thailand",Doi Tung Development Project,1,30.0,Specialty Coffee Institute of Thailand,2024 / 2025,2025-08-26,Tanawit Thirintong,Gayo,Completed,Fermented Natural,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10,10.0,8.0,0,86.42,0.125,0.0,0,Bluish-Green,0.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Colombia,,3-1832-11038,TRILLADORA ANDES - SUCDEN SERVICIOS,1832,SUCDEN COLOMBIA SAS,1400-2200,HUILA,SEVERAL,600,30.0,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,2024-11-23,Nataly Marcela Cujia Sierra,CASTILLO-CATURRA-COLOMBIA,Completed,WASHED,8.08,8.08,7.92,7.92,8.0,8.5,10.0,10,10.0,7.92,0,86.42,0.11800000000000001,0.0,0,Green,2.0,2025-11-23,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991,arabica,,,,,
Vietnam,Công ty TNHH MTV Rẫy Rừng,A333,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1600,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,300,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Thang Ho Hoang Minh,Typica,Completed,Pulped natural / honey,8.17,7.92,8.08,8.17,8.08,7.83,10.0,10,10.0,8.08,0,86.33,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Colombia,N / A,3-0068-00878,Trilladora Popayán,3-0068-00878,ECOM COLOMBIA,1700,Cauca,Regional producers,200,70.0,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,2025-04-30,Raúl Vargas,Caturra,Completed,Washed / Wet,8.0,7.83,8.0,8.0,8.08,8.33,10.0,10,10.0,8.08,0,86.33,0.105,4.0,1,Green,6.0,2026-04-30,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991,arabica,,,,,
Taiwan,名陽園 MINGYANG,"2024 Sustainable Specialty Coffee Farm Awards,S031",名陽園 MINGYANG,,Taiwan Coffee Laboratory,1500,"嘉義縣 竹崎鄉 Zhuqi Township, Chiayi County","王政淵 WANG, CHENG-YUAN",1,8.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,2024-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.08,8.0,8.0,8.0,8.08,10.0,10,10.0,8.08,0,86.33,0.1,0.0,0,Greenish,0.0,2025-10-29,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Taiwan,何留咖啡Hiu Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,何留咖啡Hiu Coffee Manor,,Taiwan Coffee Laboratory,650,"Wanrong Township, Hualien County","林金光LIN,JIN-GUANG",1,6.0,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,2025-09-12,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Anaerobic Washed Process,8.0,8.25,7.92,8.08,8.0,8.0,10.0,10,10.0,8.08,0,86.33,0.11199999999999999,0.0,0,GREENISH,0.0,2026-09-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",arabica,,,,,
Vietnam,Kra Jan Ha Djim,A444,Kra Jan Ha Djim,,,1500,"Lạc Dương, Lâm Đồng",Kra Jan Ha Djim,100,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Kra Jan Ha Djim,Yellow Bourbon,Completed,Pulped natural / honey,8.08,8.25,8.0,8.08,8.08,8.08,10.0,10,10.0,7.75,0,86.33,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
Thailand,LISUMI Coffee Farm,LSMDB-2501,LISUMI Plantation,,Lisumi Coffee Farm,1300,Chiangrai,Mt Lisumi Coffee Farm,1,8.0,Specialty Coffee Institute of Thailand,2024 / 2025,2025-08-26,Theerachart Satittampana,Progeny88 (Hybrid of Caturra X HDT-CIFC1343),Completed,Natural / Dry,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10,10.0,7.83,0,86.25,0.11699999999999999,0.0,0,Bluish-Green,0.0,2026-08-26,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Thailand,Doi Tung Development Project,Typica Honey Process: ICP Rank 1 (2024),Doi Tung Development Project,,Mae Fah Luang Foundation/ Doi Tung Development Project,1200,"Mae Fah Luang, Chiang Rai",Tanawith Thirintong,1,10.0,Specialty Coffee Institute of Thailand,2023 / 2024,2024-10-29,Sitthinadda Paphavasit,Typica,Completed,Pulped natural / honey,8.17,8.17,8.0,8.0,7.67,8.08,10.0,10,10.0,8.17,0,86.25,0.10400000000000001,0.0,2,Green,0.0,2025-10-29,Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",arabica,,,,,
Vietnam,ThyThy Farm,A555,ThyThy Farm,,cong ty tnhh ca phe sach intenso,1550,"Trạm Hành, Cầu Đất, Lâm Đồng",Lê Huyền Ngọc Thy,200,1.0,HQJ Coffee School,2024 / 2025,2025-07-09,Ta tuan anh,Catimor,Completed,Natural / Dry,8.0,8.17,8.0,8.08,7.83,8.08,10.0,10,10.0,8.08,0,86.25,0.11,0.0,0,Green,0.0,2026-07-09,HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008,arabica,,,,,
