Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Fragrance / Aroma,Flavor,Aftertaste,Salt / Acid,Bitter / Sweet,Mouthfeel,Uniform Cup,Clean Cup,Balance,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Cambodia,MALLIKA,MALLIKA Lot #1994,Paul Coffee & Roastery Lab,,Paul Coffee & Roastery Lab,150,MEMOT,Oung Vuch Chhe,30,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 3rd, 2025","HSU,PO-HAN 許博涵",,Completed,Natural / Dry,8.33,8.17,8.17,8.25,8.5,8.17,10,10,8.25,8.17,0,86,11.10%,0 full defects,0,Pale Yellow,3 full defects,,"September 3rd, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,slkcoffee,N1225,slkcoffee,,slkcoffee,80,Chomphon,Thanasit Soonsupha,1,8 kg,SOCOF Lab,2020 / 2021,"October 2nd, 2025",slkcoffee,K7,Completed,Natural / Dry,8.25,8.33,8.08,8.17,8.33,8.17,10,10,8.25,8.33,0,85.92,10.40%,0 full defects,0,Brownish,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Vietnam,Công ty TNHH Minudo Farm - Care,R642,Công ty TNHH Minudo Farm - Care,,,800,Đắk Lắk,Lê Đình Tư,3000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Aeroco coffee,TR9,Completed,Natural / Dry,8.42,8.33,8.17,8.25,8.17,8.08,10,10,8.17,8.25,0,85.83,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,Fine Buster,1,Dry,,Fine Buster,1300,นครเทิง,Mujarin Opaso,2,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"November 7th, 2024",Mujarin Opaso,,Completed,Natural / Dry,8.17,8.08,8,8.17,8.25,8.08,10,10,8.17,8.92,0,85.83,9.40%,0 full defects,0,yellowish,0 full defects,,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,Công ty TNHH CARABU COFFEE,R826,Công ty TNHH CARABU COFFEE,,"carabu coffee, co, ltd",500,Buôn Ma Thuột,Hoàng Mạnh Tường,18000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",carabu,Ro Sẻ,Completed,Natural / Dry,8.5,8.33,8.17,8.25,8.17,8,10,10,8.08,8.25,0,85.75,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,K'ho Fine Robusta,R775,K'ho Fine Robusta,,Dancafe,1000-1200,"Ka Đơn, Đơn Dương, Lâm Đồng",Trần Vũ Mỹ Trinh,30000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Danh Nguyen,Cà dây,Completed,Natural / Dry,8.33,8.25,8.17,8.17,8.33,8.17,10,10,8.17,8.17,0,85.75,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,Pumma Farm,2567-2568/03,Pumma Farm,,"PUMMA FARM CO., LTD.",79,Chumphon,Supaporn Pummin,3,8 kg,SOCOF Lab,2024 / 2025,"October 2nd, 2025",Supaporn Pumnin,,Completed,Natural / Dry,8.33,8.33,8,8.17,8.08,8.17,10,10,8.25,8.33,0,85.67,11.70%,0 full defects,0,Brownish,0 full defects,,"October 2nd, 2026",SOCOF Lab,"(Ministry of Roasters)199 Chang Moi , Mueng Chiang Mai, 53000 Thailand",Anuwat Kobnampetch - whatsapp +66 925524446
Vietnam,Soul Fine Robusta,R914,Soul Fine Robusta,,"Songlinh Co., Ltd",600-650,Đắk Lắk,Hứa Tiểu Linh,10000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",SOUL FINE ROBUSTA Vietnam,TR,Completed,Natural / Dry,8.25,8.33,8.17,8.17,8.25,8.17,10,10,8,8.33,0,85.67,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,Sang Tong Farm,ICP2025/R003,Jangki Coffee Company,,Jangki Coffee,500,ตาก,Athit Sangtow,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Athit Sangtow,Robusta,Completed,Natural / Dry,8.25,8.25,7.92,8.42,8.5,8.08,10,10,8.08,8.08,0,85.58,12.20%,0 full defects,0,Pale Yellow,2 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Cambodia,PIDA COFFEE FARM,RO1,PIDA COFFEE FARM,,Babros Coffee Works,700,Mondulkiri,PIDA COFFEE FARM,30,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"March 24th, 2025",BABROS COFFEE WORKS,,Completed,Anaerobic natural,8.17,8.08,8.17,8.25,8.33,8.17,10,10,8.25,8.17,0,85.58,12%,0 full defects,1,Blue-Green,0 full defects,,"March 24th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,Bui Origin,R998,Bui Origin,,Bui Coffee Supply,1080,"Thôn Hang Hớt, Thị Trấn Mê Linh, Huyện Lâm Hà, Lâm Đồng",Bùi Cảnh,10000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Bui Canh,TR,Completed,Natural / Dry,8.25,8.33,8.17,8.33,8.17,8.08,10,10,8.08,8.17,0,85.58,10.70%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Cameroon,Ze Filbert,AYOS 2024,Martin Nantcha,,AYOS Coffee GmbH,700,AYOS Cameroon,AYOS Coffee,10,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2024 / 2025,"December 30th, 2024",Mvongo Jean-Paul,Timor,Completed,Natural / Dry,8.08,8.17,8,8.25,8.33,8.17,10,10,8.25,8.25,0,85.5,10.90%,0 full defects,0,Yellow-green,0 full defects,,"December 30th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
Vietnam,LIKEFARM,R112,LIKEFARM,,Hợp tác xã Liên Kết,950,"Lâm Hà, Lâm Đồng",Mai Nguyễn Quốc Thắng,1500,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Mai Nguyen Quoc Thang,TR4,Completed,Natural / Dry,8.33,8.17,8.17,8.33,8.17,8.08,10,10,8.08,8.17,0,85.5,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,TAMBA FARM,TAMBA 01,dry mill,,Tamba company,700-900,Gia Lai,TAMBA FARM,1,2 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"September 22nd, 2025",LUU VINH QUANG,robusta,Completed,Pulped natural / honey,8.25,8.17,8.08,8.08,8.17,8.08,10,10,8.17,8.25,0,85.25,12.10%,0 full defects,0,Blue-Green,0 full defects,,"September 22nd, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,EaTan Cooperative,N1,Dry,,SIMEXCO DAKLAK LTD,850,Đắk Lắk,Hợp tác xã Ea Tân,35,60 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"September 29th, 2025",Simexco DakLak,TR9,Completed,Natural / Dry,8.5,8.17,8,8.17,8.17,8,10,10,8.08,8.17,0,85.25,11.80%,0 full defects,0,Bluish-Green,0 full defects,,"September 29th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,Mori Coffee Farm,R334,Mori Coffee Farm,,Dancafe,700,"Gia Lai, Chư Prong",Trần Thị Bích Ngọc,40000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Danh Nguyen,TR4,Completed,Natural / Dry,8.25,8.25,8.08,8.25,8.17,8,10,10,8,8.17,0,85.17,11.20%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,Fly Robusta,1,dry mill,,Fly robusta,120,Chumphon south of Thailand,Katekanok,2,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",katekanok,,Completed,Natural / Dry,8.33,8.25,8.17,8.25,8,7.92,10,10,8,8.25,0,85.17,12.50%,0 full defects,0,yellow - green,5 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,Đạm Coffee Farm,R135,Đạm Coffee Farm,,Đạm Coffee Farm,600,Đắk Lắk,Nguyễn Thị Trân Châu Ngọc,10000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Nguyen Thi Tran Chau Ngoc,TR,Completed,Natural / Dry,8.42,8.17,8,8.17,8.17,8,10,10,8.08,8.08,0,85.08,11.10%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Tamba company,TAMBA NATURAL VRF,dry mill,,Tamba company,700-900,Gia Lai,Tamba company,50,60 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"May 22nd, 2025",LUU VINH QUANG,,Completed,Natural / Dry,8.25,8,8.08,8.17,8.17,8.17,10,10,8.17,8.08,0,85.08,11.50%,0 full defects,0,Green,0 full defects,,"May 22nd, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,Công ty TNHH Cà Phê Tôi Yêu - The Cil Coffee,R638,Công ty TNHH Cà Phê Tôi Yêu - The Cil Coffee,,The CiL Coffee,700,"Đức Trọng, Lâm Đồng",Phạm Hồ Nam,10000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Nam H. Pham,Thiện trường & xanh lùn,Completed,Natural / Dry,8.42,8.17,7.92,8.17,8.08,8.08,10,10,8.08,8.08,0,85,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,8Ro Company,R468,8Ro Company,,8RoCompany,800,"Quảng Tín, Đăk Rlấp, Đắk Nông",Đinh Tiên Bảo San,25000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Đinh Tiên Bảo San,Mix,Completed,Natural / Dry,8.42,8.17,8,8.25,8.08,8,10,10,8,8.08,0,85,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,The Espresso Farm,02,Dry mil,,The Espresso,900,Lâm Hà,the espresso farm,30,60 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"May 15th, 2025",Tran Le Duc,,Completed,Natural / Dry,8.08,8,8.08,8.08,8.25,8.17,10,10,8.25,8.08,0,85,12%,0 full defects,0,Green,0 full defects,,"May 15th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,Công ty TNHH Dịch vụ và Thương mại Tài Đức,R009,Công ty TNHH Dịch vụ và Thương mại Tài Đức,,Dancafe,710,"Đồi Sót, Đức Minh, Đức Minh, Đắk Nông",Lương Thị Hương,8000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Danh Nguyen,Xanh lùn,Completed,Natural / Dry,8.33,8.17,7.92,8.17,8.17,8,10,10,8.08,8.17,0,85,10.90%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Mori Coffee Farm,R667,Mori Coffee Farm,,Dancafe,700,"Gia Lai, Chư Prong",Trần Thị Bích Ngọc,40000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Danh Nguyen,TR4,Completed,Washed / Wet,8.17,8.25,8,8.25,8.08,8.08,10,10,8,8.17,0,85,10.70%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,LIKEFARM,R753,LIKEFARM,,Hợp tác xã Liên Kết,950,"Lâm Hà, Lâm Đồng",Mai Nguyễn Quốc Thắng,4000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Mai Nguyen Quoc Thang,TR4,Completed,Washed / Wet,8.25,8.17,8.08,8.08,8.08,8.08,10,10,8.08,8.08,0,84.92,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,"Song Linh Co., Ltd",5,Song Linh,,"Songlinh Co., Ltd",650,"Buon Ma Thuot, Dak Lak",Soul Fine Robusta,10,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",SOUL FINE ROBUSTA Vietnam,,Completed,Natural / Dry,8.33,8.33,8,8,8,8,10,10,8.08,8.08,0,84.83,13.10%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,phutawan farm,1,dry mill,-,Phutawan Robusta krabi,167,south,jaree,1,8 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Jaree Manob,Mocha,Completed,Pulped natural / honey,8.17,8,7.92,8.08,8.08,8.17,10,10,8.17,8.17,0,84.75,10.60%,0 full defects,0,Greenish,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,NÔNG TRẠI CÀ PHÊ CHÍN EA TÂN,1,CT COFFEE VN,,Vietnam Coffee & Tea Import Export Joint Stock Company,860,"Thôn Quang Trung, xã Ea Tân, Huyện Krong Năng, Tỉnh Đăk Lăk",CT COFFEE VN,10,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"July 1st, 2025",CT Coffee VN,,Completed,Natural Anaerobic Deep Fermentation,8.33,8.17,8.08,8.08,8,8,10,10,8,8.08,0,84.75,11.70%,0 full defects,1,Yellowish,0 full defects,,"July 1st, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Vietnam,Công ty TNHH Cà phê Chất Lượng Cao Lâm Hà,R702,Công ty TNHH Cà phê Chất Lượng Cao Lâm Hà,,CONG TY TNHH CA PHE CHAT LUONG CAO LAM HA,980-1100,"Hoài Đức, Lâm Hà, Lâm Đồng",Nguyễn Hải Duyên Anh,60,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",CONG TY TNHH CA PHE CHAT LUONG CAO LAM HA,Búp tím,Completed,Natural / Dry,8.25,8.25,7.92,8,8.17,8.08,10,10,7.92,8.08,0,84.67,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,Tha Khien Farm,2025,HH Dry Mill,,Horizon Harvest,800-900,"Mae Kha Ning, Wiang Sa, Nan",Khien,1,20 kg,Specialty Coffee Institute of Thailand,2025,"August 26th, 2025",Chawanrat Tengtriratana,Robusta,Completed,Natural / Dry,7.58,8,8,8.25,8.08,8.17,10,10,8.17,8.17,0,84.42,10.60%,0 full defects,0,Green,1 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,Công ty TNHH MTV Rẫy Rừng,R105,Công ty TNHH MTV Rẫy Rừng,,Ray Rung Limited Company,1400,"Thôn Đắk Bờ Rồ, Xã Đắk Tăng, Huyện Kon Plông, Tỉnh Kon Tum",Bùi Lê Băng,1500,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Thang Ho Hoang Minh,Mix,Completed,Natural / Dry,8.17,8,7.83,8.17,8.08,8,10,10,8,8.17,0,84.42,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Công ty TNHH MEGARDEN COFFEE,R357,Công ty TNHH MEGARDEN COFFEE,,MeGarden Coffee,590,"Thôn 4, Xã Đắk Miu, TP Gia Nghĩa, Đắk Nông",Vũ Thành An,6000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",MeGarden Coffee,Mix,Completed,Natural / Dry,8.08,8,8,8,8.17,8.08,10,10,8,8.08,0,84.42,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Vietnam,Soul Fine Robusta,R358,Soul Fine Robusta,,"Songlinh Co., Ltd",600-650,Đắk Lắk,Hứa Tiểu Linh,10000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",SOUL FINE ROBUSTA Vietnam,Xanh lùn,Completed,Natural / Dry,8.33,8.17,7.83,8.17,8,7.92,10,10,7.83,8.08,0,84.33,11%,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,LMJB Farm,1,Dry,,LMJB,70,Thasae Chumpon,Panuwat Kimsia,1,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Panuwat Kimsia,Catimor,Completed,Natural / Dry,8.25,8.08,8.08,8.08,8,7.83,10,10,7.92,7.92,0,84.17,10.80%,0 full defects,0,yellow-green,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Vietnam,Carabu Farm,R03,23 nguyen cư trinh,,"carabu coffee. co., ltd",500,Buon Ma Thuot City,Carabu,60,25 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2023 / 2024,"October 29th, 2024",CARABU COFFEE,Blue Mountain,Completed,Natural / Dry,8.25,8.08,8,7.92,8.08,7.83,10,10,7.92,8,0,84.08,11.90%,0 full defects,0,Yellowish,0 full defects,,"October 29th, 2025",Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),"1 G Dinh Bo Linh Street, 15 ward, Binh Thanh District, Ho Chi Minh City","Hai,Tran Quang. - 84 8 98 967 8708"
Vietnam,"Song Linh Co., Ltd",7,Song Linh,,"Songlinh Co., Ltd",650,"Buon Ma Thuot, Dak Lak",Soul Fine Robusta,20,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",SOUL FINE ROBUSTA Vietnam,,Completed,Natural anaerobic,8.17,8.08,8,8,7.92,8,10,10,8,7.92,0,84.08,12.90%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Thailand,gem forest coffee (Num meet),#120224,gem forsest coffee,,"Gemforest coffee LTD.,Part.",450,Nan,Wanwisa Jordan,1,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Wanwisa Jordan,,Completed,Natural / Dry,8.08,8,7.83,8,7.83,8.08,10,10,8.08,8.08,0,84,10.40%,0 full defects,0,yellow-green,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
